epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1148.43,2.14141,2.14849,1.81686,0.27961,0.1937,0.16938,0.06491,2.32114,2.29559,1.95577,0.000990365,0.000990365,0.000990365
43,1165.04,2.15466,2.12228,1.79305,0.27892,0.20367,0.16429,0.05932,2.40098,2.35996,1.97569,0.000973861,0.000973861,0.000973861
44,1175.46,2.15372,2.12574,1.78645,0.33734,0.2021,0.18598,0.07482,2.31713,2.29481,1.93598,0.000957358,0.000957358,0.000957358
45,1191.65,2.119,2.13137,1.79131,0.28917,0.2285,0.18761,0.07464,2.2369,2.26477,1.87074,0.000940855,0.000940855,0.000940855
46,1201.76,2.16161,2.10187,1.79582,0.32679,0.2273,0.20164,0.07838,2.26526,2.23276,1.87686,0.000924352,0.000924352,0.000924352
47,1230.24,2.13626,2.11146,1.79345,0.36295,0.21383,0.19881,0.07694,2.30275,2.3736,1.85858,0.000907848,0.000907848,0.000907848
48,1254.57,2.14795,2.09875,1.79064,0.35033,0.20997,0.20153,0.08277,2.22126,2.24109,1.84834,0.000891345,0.000891345,0.000891345
49,1285.56,2.1046,2.06658,1.7651,0.30368,0.22687,0.19737,0.08002,2.343,2.18826,1.91473,0.000874842,0.000874842,0.000874842
50,1302.17,2.10815,2.06242,1.76105,0.34685,0.25617,0.21541,0.08486,2.28403,2.23962,1.84901,0.000858338,0.000858338,0.000858338
51,1312.7,2.08853,2.07956,1.77144,0.33329,0.25354,0.22138,0.08314,2.27543,2.16129,1.88633,0.000841835,0.000841835,0.000841835
52,1330.68,2.06398,2.03552,1.75992,0.36007,0.2399,0.23317,0.09955,2.15289,2.11712,1.84806,0.000825332,0.000825332,0.000825332
53,1342,2.07401,2.04271,1.76056,0.35493,0.2559,0.23209,0.09345,2.17482,2.2156,1.82311,0.000808828,0.000808828,0.000808828
54,1360.18,2.0963,2.05039,1.76253,0.33565,0.23097,0.2077,0.08472,2.24248,2.24059,1.87325,0.000792325,0.000792325,0.000792325
55,1370.8,2.05983,2.00049,1.75118,0.37012,0.26142,0.24717,0.10785,2.13434,2.07586,1.79532,0.000775822,0.000775822,0.000775822
56,1394.34,2.03722,2.02087,1.75156,0.39254,0.25722,0.26279,0.11257,2.12426,2.05796,1.79516,0.000759318,0.000759318,0.000759318
57,1423.41,2.05439,1.98028,1.72315,0.35107,0.25197,0.22349,0.08578,2.26227,2.27684,1.84055,0.000742815,0.000742815,0.000742815
58,1448.34,2.07684,2.01023,1.7625,0.39838,0.27769,0.26647,0.10805,2.12863,2.09196,1.78181,0.000726312,0.000726312,0.000726312
59,1473.79,2.03998,1.94996,1.72563,0.3962,0.26194,0.26015,0.10479,2.18224,2.108,1.80719,0.000709809,0.000709809,0.000709809
60,1499.08,2.06381,1.91783,1.71621,0.39046,0.27139,0.26307,0.11219,2.15014,2.10694,1.77819,0.000693305,0.000693305,0.000693305
61,1525.22,2.01786,1.9623,1.71464,0.41048,0.29711,0.28466,0.12588,2.08386,2.01863,1.75673,0.000676802,0.000676802,0.000676802
62,1551.77,1.97694,1.93937,1.70653,0.40328,0.29239,0.28002,0.12249,2.07012,1.97829,1.74483,0.000660299,0.000660299,0.000660299
63,1569.53,2.0177,1.90469,1.68498,0.38799,0.29764,0.2816,0.1185,2.09547,2.03722,1.75469,0.000643795,0.000643795,0.000643795
64,1580.48,1.97438,1.84772,1.66885,0.44943,0.29764,0.3079,0.13721,2.04735,1.94519,1.74083,0.000627292,0.000627292,0.000627292
65,1603.38,1.95969,1.88402,1.68117,0.4397,0.32283,0.31247,0.13804,2.04956,1.95097,1.72583,0.000610789,0.000610789,0.000610789
66,1626.36,1.9498,1.85913,1.69292,0.42395,0.31706,0.32557,0.14763,1.99667,1.90068,1.71028,0.000594286,0.000594286,0.000594286
67,1655.1,1.95676,1.88912,1.70255,0.42836,0.30289,0.30009,0.13277,2.07132,1.97325,1.74192,0.000577782,0.000577782,0.000577782
68,1679.93,1.93426,1.81328,1.64732,0.45762,0.30761,0.30787,0.12734,2.05354,2.03338,1.71023,0.000561279,0.000561279,0.000561279
69,1697.04,1.90985,1.81889,1.62706,0.45614,0.30026,0.31414,0.14631,1.95797,1.92852,1.70986,0.000544776,0.000544776,0.000544776
70,1709.16,1.93671,1.82749,1.66619,0.47728,0.30709,0.31397,0.14941,1.98477,1.90933,1.69992,0.000528272,0.000528272,0.000528272
71,1735.48,1.90706,1.74777,1.6319,0.49887,0.33806,0.35737,0.16795,1.95561,1.85324,1.66272,0.000511769,0.000511769,0.000511769
72,1757.77,1.92919,1.80671,1.66736,0.46472,0.35853,0.37393,0.1779,1.92806,1.81652,1.65782,0.000495266,0.000495266,0.000495266
73,1780.64,1.90512,1.77923,1.64415,0.5261,0.35276,0.38122,0.18637,1.89485,1.78366,1.63475,0.000478762,0.000478762,0.000478762
74,1803.12,1.85831,1.73354,1.61603,0.48709,0.36291,0.37946,0.1805,1.9156,1.77373,1.63569,0.000462259,0.000462259,0.000462259
